expr	time	seconds	neos	neosec
expr()	89058340850	89.05834085	728	8.17441682667503
expr()	66910335128	66.910335128	765	11.4332113048985
expr()	121996839722	121.996839722	690	5.65588421447913
expr()	95933158080	95.93315808	766	7.98472619197235
expr()	80893069337	80.893069337	651	8.04766100897888
expr()	91188133390	91.18813339	707	7.75320180068004
expr()	76816529139	76.816529139	688	8.95640570735837
expr()	77600785350	77.60078535	721	9.29114308248428
expr()	208177791001	208.177791001	768	3.68915433441366
expr()	73626256293	73.626256293	571	7.75538549356186
expr()	67984170107	67.984170107	690	10.1494215331894
expr()	73828997272	73.828997272	693	9.38655576543803
expr()	79707122884	79.707122884	714	8.95779416149676
expr()	70898784570	70.89878457	770	10.8605528948068
expr()	75876648602	75.876648602	651	8.57971473430154
expr()	143561979498	143.561979498	706	4.91773659341215
expr()	80651544301	80.651544301	770	9.54724434198407
expr()	73176523096	73.176523096	721	9.85288682073789
expr()	80326983503	80.326983503	612	7.61885948296743
expr()	95149472164	95.149472164	717	7.53551211260716
expr()	62322376724	62.322376724	679	10.8949631848447
expr()	281611008572	281.611008572	695	2.46794329356733
expr()	68037866115	68.037866115	767	11.2731342676678
expr()	69761829737	69.761829737	767	10.9945510731523
expr()	67906880570	67.90688057	769	11.3243311067322
expr()	175330963230	175.33096323	613	3.49624497982061
expr()	178226581576	178.226581576	684	3.83781136321871
expr()	69406428032	69.406428032	658	9.48038990994649
expr()	92519696944	92.519696944	770	8.3225521206156
expr()	100888558817	100.888558817	770	7.63218356004757
expr()	156770392424	156.770392424	752	4.79682412203286
expr()	65361049543	65.361049543	607	9.28687657624996
expr()	81998829230	81.99882923	770	9.39037797527832
expr()	89316698105	89.316698105	767	8.58742000402121
expr()	198469513824	198.469513824	719	3.62272263455837
expr()	90991037597	90.991037597	767	8.42940162301532
expr()	149775534707	149.775534707	720	4.80719365421401
expr()	83928221438	83.928221438	770	9.17450634371919
expr()	68463690046	68.463690046	636	9.28959569039703
expr()	81118881032	81.118881032	767	9.45525863081656
expr()	161376175702	161.376175702	684	4.23854386822926
expr()	98170135147	98.170135147	721	7.3443924562228
expr()	195775890259	195.775890259	767	3.91774492244834
expr()	74173563117	74.173563117	656	8.84412144209977
expr()	106168308512	106.168308512	670	6.31073443092739
expr()	92844080730	92.84408073	761	8.19653761463873
expr()	76574849974	76.574849974	769	10.0424617255026
expr()	70299589084	70.299589084	651	9.26036707301559
expr()	104254253805	104.254253805	656	6.29230919658204
expr()	72280709478	72.280709478	595	8.23179523688958
expr()	105032262800	105.0322628	613	5.83630194816673
expr()	93929414711	93.929414711	770	8.19764503344474
expr()	75700984194	75.700984194	658	8.69209306861499
expr()	167488022558	167.488022558	764	4.56152021100752
expr()	106863022931	106.863022931	616	5.76438868286313
expr()	75027971771	75.027971771	728	9.70304784756808
expr()	71712120803	71.712120803	693	9.66363833951776
expr()	85671994651	85.671994651	755	8.81268147281531
expr()	79933562631	79.933562631	676	8.45702327970344
expr()	76434126502	76.434126502	721	9.43295924211463
expr()	109169085061	109.169085061	733	6.71435507213809
expr()	75012194758	75.012194758	690	9.19850435287273
expr()	91811183655	91.811183655	687	7.48274853509729
expr()	86000600082	86.000600082	728	8.46505721245974
expr()	76536331815	76.536331815	693	9.05452330371786
expr()	104515825931	104.515825931	692	6.62100685552492
expr()	109854193206	109.854193206	728	6.62696596965439
expr()	69395601355	69.395601355	658	9.4818689823572
expr()	87134448059	87.134448059	770	8.8369183159182
expr()	86672491437	86.672491437	770	8.8840182996204
expr()	90573307434	90.573307434	755	8.33578922300218
expr()	108780843654	108.780843654	770	7.07845218087428
expr()	72375269615	72.375269615	699	9.65799510963245
expr()	191487189641	191.487189641	702	3.66604158385795
expr()	77847831077	77.847831077	693	8.90198211578364
expr()	76273223609	76.273223609	644	8.44333003809229
expr()	76798029128	76.798029128	748	9.73983328079033
expr()	104854450782	104.854450782	728	6.94295754324788
expr()	64159665125	64.159665125	714	11.1284870114103
expr()	72123133639	72.123133639	690	9.56697199893833
expr()	175918892466	175.918892466	722	4.10416408311314
expr()	95629299213	95.629299213	714	7.46633098721838
expr()	171284621245	171.284621245	606	3.53797086740903
expr()	92230416261	92.230416261	761	8.25107411254081
expr()	81038537251	81.038537251	761	9.39059397929359
expr()	67080500612	67.080500612	748	11.150781421959
expr()	93215197605	93.215197605	770	8.26045558861421
expr()	56902767977	56.902767977	587	10.3158426359376
expr()	71242549750	71.24254975	721	10.1203564798016
expr()	97217361327	97.217361327	670	6.89177314478214
expr()	70002978509	70.002978509	721	10.2995617523232
expr()	51558421522	51.558421522	609	11.8118433812047
expr()	73593337546	73.593337546	632	8.58773390464815
expr()	86887637601	86.887637601	766	8.81598373657686
expr()	90856908176	90.856908176	750	8.25473830286153
expr()	94375322766	94.375322766	723	7.66090095175251
expr()	72175439967	72.175439967	759	10.516042581064
expr()	76361174254	76.361174254	693	9.07529260478467
expr()	94075910802	94.075910802	767	8.15299042508653
expr()	70036748826	70.036748826	690	9.85197073773717
